Date,Total Deaths,Daily Deaths,Change in Total (%),Change in Daily,Change in Daily (%),Death Rate
Jan-23,25,8,0.00,8,0,1
Jan-24,41,16,64.00,8,100,2
Jan-25,56,15,36.59,-1,-6.25,0.94
Jan-26,80,24,42.86,9,60,1.6
Jan-27,106,26,32.50,2,8.33,1.08
Jan-28,132,26,24.53,0,0,1
Jan-29,170,38,28.79,12,46.15,1.46
Jan-30,213,43,25.29,5,13.16,1.13
Jan-31,259,46,21.60,3,6.98,1.07
Feb-01,304,45,17.37,-1,-2.17,0.98
Feb-02,362,58,19.08,13,28.89,1.29
Feb-03,426,64,17.68,6,10.34,1.1
Feb-04,492,66,15.49,2,3.13,1.03
Feb-05,565,73,14.84,7,10.61,1.11
Feb-06,638,73,12.92,0,0,1
Feb-07,724,86,13.48,13,17.81,1.18
Feb-08,813,89,12.29,3,3.49,1.03
Feb-09,910,97,11.93,8,8.99,1.09
Feb-10,1018,108,11.87,11,11.34,1.11
Feb-11,1115,97,9.53,-11,-10.19,0.9
Feb-12,1261,146,13.09,49,50.52,1.51
Feb-13,1383,122,9.67,-24,-16.44,0.84
Feb-14,1526,143,10.34,21,17.21,1.17
Feb-15,1669,143,9.37,0,0,1
Feb-16,1775,106,6.35,-37,-25.87,0.74
Feb-17,1873,98,5.52,-8,-7.55,0.92
Feb-18,2009,136,7.26,38,38.78,1.39
Feb-19,2126,117,5.82,-19,-13.97,0.86
Feb-20,2247,121,5.69,4,3.42,1.03
Feb-21,2360,113,5.03,-8,-6.61,0.93
Feb-22,2460,100,4.24,-13,-11.5,0.88
Feb-23,2618,158,6.42,58,58,1.58
Feb-24,2699,81,3.09,-77,-48.73,0.51
Feb-25,2763,64,2.37,-17,-20.99,0.79
Feb-26,2800,37,1.34,-27,-42.19,0.58
Feb-27,2858,58,2.07,21,56.76,1.57
Feb-28,2923,65,2.27,7,12.07,1.12
Feb-29,2977,54,1.85,-11,-16.92,0.83
Mar-01,3050,73,2.45,19,35.19,1.35
Mar-02,3117,67,2.20,-6,-8.22,0.92
Mar-03,3202,85,2.73,18,26.87,1.27
Mar-04,3285,83,2.59,-2,-2.35,0.98
Mar-05,3387,102,3.11,19,22.89,1.23
Mar-06,3494,107,3.16,5,4.9,1.05
Mar-07,3599,105,3.01,-2,-1.87,0.98
Mar-08,3827,228,6.34,123,117.14,2.17
Mar-09,4025,198,5.17,-30,-13.16,0.87
Mar-10,4296,271,6.73,73,36.87,1.37
Mar-11,4628,332,7.73,61,22.51,1.23
Mar-12,4981,353,7.63,21,6.33,1.06
Mar-13,5428,447,8.97,94,26.63,1.27
Mar-14,5833,405,7.46,-42,-9.4,0.91
Mar-15,6520,687,11.78,282,69.63,1.7
Mar-16,7162,642,9.85,-45,-6.55,0.93
Mar-17,7979,817,11.41,175,27.26,1.27
Mar-18,8951,972,12.18,155,18.97,1.19
Mar-19,10030,1079,12.05,107,11.01,1.11
Mar-20,11386,1356,13.52,277,25.67,1.26
Mar-21,13011,1625,14.27,269,19.84,1.2
Mar-22,14640,1629,12.52,4,0.25,1
Mar-23,16513,1873,12.79,244,14.98,1.15
Mar-24,18894,2381,14.42,508,27.12,1.27
Mar-25,21282,2388,12.64,7,0.29,1
Mar-26,24073,2791,13.11,403,16.88,1.17
Mar-27,27344,3271,13.59,480,17.2,1.17
Mar-28,30862,3518,12.87,247,7.55,1.08
