Dates,India Cases,India Growth,China cases,China Growth,Italy Cases,Italy Growth,USA Cases,USA Growth,"India Growth Rate per 100,000","China Growth Rate per 100,000","Italy Growth Rate per 100,000","USA Growth Rate per 100,000"
Day 1,1,1,27,27,3,1,14,0,0.000,0.000,0.00003,0.00014
Day 2,2,1,44,17,20,17,15,1,0.000,0.000,0.0002,0.00015
Day 3,3,1,59,15,79,59,15,0,0.000,0.001,0.00079,0.00015
Day 4,5,2,62,3,150,71,19,4,0.000,0.001,0.0015,0.00019
Day 5,6,1,121,59,229,79,24,5,0.000,0.001,0.00229,0.00024
Day 6,28,22,198,77,322,93,42,18,0.000,0.002,0.00322,0.00042
Day 7,30,2,291,93,445,123,57,15,0.000,0.003,0.00445,0.00057
Day 8,31,1,440,149,650,205,85,28,0.000,0.004,0.0065,0.00085
Day 9,34,3,571,131,888,238,111,26,0.000,0.006,0.00888,0.00111
Day 10,39,5,830,259,1128,240,175,64,0.000,0.008,0.01128,0.00175
Day 11,44,5,1287,457,1694,566,252,77,0.000,0.013,0.01694,0.00252
Day 12,50,6,1975,688,2036,342,353,101,0.001,0.020,0.02036,0.00353
Day 13,60,10,2744,769,2502,466,497,144,0.001,0.027,0.02502,0.00497
Day 14,73,13,4515,1771,3089,587,645,148,0.001,0.045,0.03089,0.00645
Day 15,81,8,5974,1459,3858,769,936,291,0.001,0.060,0.03858,0.00936
Day 16,97,16,7711,1737,4636,778,1205,269,0.001,0.077,0.04636,0.01205
Day 17,107,10,9692,1981,5883,1247,1598,393,0.001,0.097,0.05883,0.01598
Day 18,118,11,11791,2099,7375,1492,2163,565,0.001,0.118,0.07375,0.02163
Day 19,137,19,14380,2589,9172,1797,2825,662,0.001,0.144,0.09172,0.02825
Day 20,151,14,17205,2825,10149,977,3501,676,0.002,0.172,0.10149,0.03501
Day 21,173,22,20438,3233,12462,2313,4373,872,0.002,0.204,0.12462,0.04373
Day 22,223,50,24324,3886,15113,2651,5662,1289,0.002,0.243,0.15113,0.05662
Day 24,283,60,28018,3694,17660,2547,8074,2412,0.003,0.280,0.1766,0.08074
Day 25,360,77,31161,3143,21157,3497,12018,3944,0.004,0.312,0.21157,0.12018
Day 26,434,74,34546,3385,24747,3590,17439,5421,0.004,0.345,0.24747,0.17439
Day 27,519,85,37198,2652,27980,3233,23710,6271,0.005,0.372,0.2798,0.2371
Day 28,606,87,40171,2973,31506,3526,32341,8631,0.006,0.402,0.31506,0.32341
Day 29,694,88,48315,8144,35713,4207,42749,10408,0.007,0.483,0.35713,0.42749
Day 30 ,834,140,55220,6905,41035,5322,52685,9936,0.008,0.552,0.41035,0.52685
Day 31,918,84,58761,3541,47021,5986,64916,12231,0.009,0.588,0.47021,0.64916
Day 32,1024,106,63851,5090,53578,6557,81836,16920,0.010,0.639,0.53578,0.81836
Day 33,1251,227,66492,2641,59138,5560,100292,18456,0.013,0.665,0.59138,1.00292
Day 34,1417,166,68500,2008,63927,4789,121105,20813,0.014,0.685,0.63927,1.21105
